HotelName,StartRating,Value,Location,Sleep Quality,Rooms,Cleanliness,Service,Overall Rating,Continent of Origin,Travel Type
Marina Mandarin Singapore,4.5 ,3 ,5 ,4 ,4 ,5 ,4 ,4 ,Europe,Family
Crowne Plaza Hotel Changi Airport,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Swissotel Merchant Court,4.0 ,3 ,5 ,2 ,2 ,3 ,4 ,3 ,Europe,Couple
Holiday Inn Atrium Singapore,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Family
Marina Bay Sands,5.0 ,1 ,5 ,1 ,1 ,2 ,1 ,1 ,North America,Business
Amara Singapore Hotel,4.0 ,4 ,4 ,5 ,4 ,5 ,5 ,5 ,North America,Business
Studio M Hotel,4.0 ,4 ,4 ,5 ,4 ,5 ,4 ,5 ,Europe,Family
Grand Hyatt Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,4 ,4 ,Asia,Business
Aqueen Hotel Lavender,,3 ,3 ,4 ,4 ,3 ,4 ,3 ,Oceania,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,4 ,3 ,4 ,4 ,3 ,Oceania,Family
Holiday Inn Atrium Singapore,4.0 ,5 ,4 ,5 ,4 ,4 ,4 ,4 ,North America,Business
Crowne Plaza Hotel Changi Airport,4.5 ,4 ,5 ,4 ,5 ,4 ,5 ,5 ,Europe,Family
Aqueen Hotel Lavender,,4 ,4 ,3 ,4 ,5 ,4 ,4 ,Europe,Family
Furama RiverFront,4.0 ,4 ,3 ,4 ,4 ,5 ,5 ,4 ,Europe,Couple
Marina Bay Sands,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
"Mandarin Oriental, Singapore",5.0 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Fairmont Singapore,4.5 ,3 ,3 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Studio M Hotel,4.0 ,4 ,5 ,4 ,3 ,5 ,5 ,4 ,Europe,Business
Copthorne Orchid Hotel Singapore,3.5 ,3 ,2 ,3 ,3 ,3 ,4 ,3 ,Europe,Business
Copthorne Orchid Hotel Singapore,3.5 ,3 ,2 ,3 ,3 ,3 ,4 ,3 ,Europe,Business
Conrad Centennial Singapore,5.0 ,3 ,4 ,4 ,4 ,4 ,4 ,3 ,Asia,Business
Swissotel Merchant Court,4.0 ,2 ,5 ,3 ,3 ,4 ,3 ,3 ,Asia,Business
Aqueen Hotel Lavender,,4 ,3 ,4 ,4 ,4 ,4 ,4 ,Asia,Business
Furama City Centre,4.0 ,3 ,4 ,4 ,2 ,4 ,3 ,3 ,Asia,Business
Marina Bay Sands,5.0 ,1 ,2 ,3 ,4 ,4 ,2 ,3 ,Asia,Couple
Ritz-Carlton Millenia Singapore,5.0 ,3 ,3 ,3 ,3 ,4 ,5 ,3 ,Asia,Family
Ritz-Carlton Millenia Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,Asia,Family
"Traders Hotel, Singapore",4.0 ,5 ,5 ,4 ,4 ,4 ,5 ,4 ,Asia,Business
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
